Season,Rank,Team,GP,3P,2P,1P,0P,G,GA,+/-,Points
2019,1,Färjestad,52,28,6,5,13,165,114,51,101
2019,2,Luleå,52,25,11,4,12,138,100,38,101
2019,3,Frölunda,52,24,8,4,16,152,134,18,92
2019,4,Djurgården,52,23,5,7,17,149,120,29,86
2019,5,Skellefteå,52,19,10,7,16,142,124,18,84
2019,6,Malmö,52,21,8,3,20,136,125,11,82
2019,7,Växjö,52,22,3,10,17,123,120,3,82
2019,8,HV71,52,24,1,6,21,136,125,11,80
2019,9,Rögle,52,20,4,7,21,130,143,-13,75
2019,10,Örebro,52,16,7,7,22,130,146,-16,69
2019,11,Brynäs,52,17,2,14,19,116,145,-29,69
2019,12,Linköping,52,15,8,6,23,130,143,-13,67
2019,13,Mora,52,13,9,3,27,126,167,-41,60
2019,14,Timrå,52,10,5,4,33,115,182,-67,44
2018,1,Växjö,52,34,6,2,10,169,104,65,116
2018,2,Djurgården,52,23,9,8,12,153,111,42,95
2018,3,Frölunda,52,25,7,5,15,159,137,22,94
2018,4,Färjestad,52,23,6,6,17,174,145,29,87
2018,5,Skellefteå,52,26,3,3,20,145,118,27,87
2018,6,Malmö,52,20,8,10,14,152,138,14,86
2018,7,Luleå,52,19,10,4,19,128,117,11,81
2018,8,HV71,52,21,6,6,19,145,143,2,81
2018,9,Linköping,52,21,3,9,19,135,130,5,78
2018,10,Brynäs,52,21,2,3,26,132,148,-16,70
2018,11,Rögle,52,16,4,5,27,132,169,-37,61
2018,12,Örebro,52,14,4,8,26,121,151,-30,58
2018,13,Mora,52,13,5,2,32,104,163,-59,51
2018,14,Karlskrona,52,11,4,6,31,101,176,-75,47
2017,1,Växjö,52,26,7,7,12,165,118,47,99
2017,2,HV71,52,27,6,5,14,152,99,53,98
2017,3,Frölunda,52,27,6,4,15,142,114,28,97
2017,4,Linköping,52,27,5,5,15,136,116,20,96
2017,5,Brynäs,52,27,4,4,17,156,124,32,93
2017,6,Skellefteå,52,25,6,3,18,129,123,6,90
2017,7,Färjestad,52,22,9,3,18,133,121,12,87
2017,8,Malmö,52,23,3,6,20,132,116,16,81
2017,9,Luleå,52,16,7,8,21,118,136,-18,70
2017,10,Djurgården,52,15,7,11,19,110,128,-18,70
2017,11,Karlskrona,52,20,2,4,26,110,122,-12,68
2017,12,Örebro,52,11,7,6,28,103,155,-52,53
2017,13,Rögle,52,12,4,3,33,115,158,-43,47
2017,14,Leksand,52,12,1,5,34,93,164,-71,43
2016,1,Skellefteå,52,33,4,4,11,160,103,57,111
2016,2,Frölunda,52,30,7,0,15,169,112,57,104
2016,3,Linköping,52,23,9,7,13,163,121,42,94
2016,4,Luleå,52,26,5,4,17,140,123,17,92
2016,5,Färjestad,52,20,10,9,13,141,130,11,89
2016,6,Växjö,52,25,4,4,19,147,139,8,87
2016,7,Djurgården,52,23,5,7,17,144,135,9,86
2016,8,Örebro,52,19,6,8,19,135,146,-11,77
2016,9,HV71,52,21,4,4,23,138,146,-8,75
2016,10,Brynäs,52,21,4,3,24,133,138,-5,74
2016,11,Rögle,52,16,4,6,26,125,154,-29,62
2016,12,Malmö,52,15,5,6,26,116,153,-37,61
2016,13,MODO,52,13,3,4,32,119,166,-47,49
2016,14,Karlskrona,52,5,4,8,35,120,184,-64,31
2015,1,Skellefteå,55,32,5,5,13,169,116,53,111
2015,2,Frölunda,55,23,11,6,15,145,120,25,97
2015,3,Växjö,55,24,9,6,16,158,120,38,96
2015,4,Linköping,55,26,4,7,18,156,125,31,93
2015,5,HV71,55,25,6,5,19,145,141,4,92
2015,6,Örebro,55,21,10,7,17,156,128,28,90
2015,7,Färjestad,55,21,6,8,20,128,135,-7,83
2015,8,Luleå,55,21,6,4,24,127,131,-4,79
2015,9,Djurgården,55,15,9,8,23,128,157,-29,71
2015,10,Brynäs,55,19,3,5,28,132,159,-27,68
2015,11,Leksand,55,15,3,6,31,116,179,-63,57
2015,12,MODO,55,12,4,9,30,127,176,-49,53
2014,1,Skellefteå,55,32,4,7,12,179,121,58,111
2014,2,Frölunda,55,29,4,7,15,153,123,30,102
2014,3,Växjö,55,23,7,11,14,156,130,26,94
2014,4,Brynäs,55,19,11,6,19,163,152,11,85
2014,5,Färjestad,55,21,7,8,19,143,134,9,85
2014,6,Luleå,55,22,6,6,21,136,115,21,84
2014,7,Leksand,55,23,5,4,23,118,155,-37,83
2014,8,MODO,55,18,10,7,20,131,132,-1,81
2014,9,Linköping,55,20,7,4,24,174,167,7,78
2014,10,HV71,55,17,9,2,27,146,182,-36,71
2014,11,Örebro,55,13,5,12,25,119,160,-41,61
2014,12,AIK,55,12,6,7,30,124,171,-47,55
2013,1,Skellefteå,55,34,4,4,13,170,107,63,114
2013,2,Färjestad,55,27,7,7,14,155,110,45,102
2013,3,Luleå,55,25,9,9,12,145,102,43,102
2013,4,HV71,55,27,9,3,16,155,124,31,102
2013,5,Linköping,55,27,4,5,19,145,136,9,94
2013,6,Frölunda,55,21,8,5,21,123,126,-3,84
2013,7,MODO,55,19,7,10,19,135,129,6,81
2013,8,Brynäs,55,17,6,12,20,123,166,-43,75
2013,9,AIK,55,16,7,7,25,123,149,-26,69
2013,10,Växjö,55,14,7,8,26,102,130,-28,64
2013,11,Timrå,55,12,8,5,30,100,127,-27,57
2013,12,Rögle,55,10,5,6,34,104,174,-70,46
2012,1,Luleå,55,25,8,9,13,128,104,24,100
2012,2,Skellefteå,55,26,5,7,17,148,125,23,95
2012,3,HV71,55,22,9,8,16,151,130,21,92
2012,4,Brynäs,55,25,6,5,19,148,140,8,92
2012,5,Frölunda,55,22,8,8,17,140,113,27,90
2012,6,Färjestad,55,23,4,10,18,124,124,0,87
